age	voted
54	no
43	yes
55	yes
46	no
38	yes
62	yes
72	yes
23	yes
68	yes
57	yes
52	no
69	yes
39	no
72	no
27	yes
38	no
49	yes
68	yes
40	yes
49	no
26	yes
34	yes
51	yes
23	no
80	yes
80	yes
43	yes
59	no
49	yes
32	yes
69	yes
80	no
45	no
43	yes
69	no
80	yes
55	yes
75	yes
60	yes
75	no
69	yes
60	yes
59	yes
26	yes
64	yes
64	yes
62	yes
46	yes
72	yes
53	yes
33	yes
61	yes
24	no
58	yes
47	no
63	no
64	yes
55	no
41	yes
68	yes
80	yes
25	yes
66	yes
63	yes
34	no
73	yes
80	yes
45	yes
50	yes
54	yes
28	no
43	yes
76	yes
39	yes
50	yes
74	yes
27	yes
76	yes
33	yes
56	yes
71	no
69	yes
48	yes
57	yes
63	yes
80	no
38	yes
80	no
71	yes
58	no
66	yes
45	yes
31	yes
49	yes
80	yes
61	yes
26	yes
45	yes
32	yes
51	yes
35	yes
56	yes
46	yes
35	yes
42	no
54	no
23	yes
33	yes
73	yes
54	no
36	no
80	yes
69	yes
61	yes
55	yes
79	yes
80	yes
60	yes
43	no
41	yes
36	yes
73	yes
75	yes
62	yes
73	yes
33	yes
80	yes
26	yes
52	yes
41	yes
67	yes
65	yes
69	yes
70	yes
58	yes
29	yes
41	yes
35	yes
34	no
53	yes
52	yes
24	yes
41	yes
76	yes
74	yes
79	yes
48	yes
62	yes
54	yes
71	yes
40	yes
36	yes
48	yes
34	no
58	yes
49	yes
67	yes
57	no
29	yes
37	yes
65	yes
55	no
68	yes
39	yes
80	yes
50	yes
57	yes
76	yes
71	yes
58	yes
43	yes
22	yes
69	no
64	yes
73	no
32	yes
30	yes
47	yes
35	yes
66	yes
42	yes
25	yes
31	yes
39	no
63	yes
54	no
64	yes
62	no
59	yes
74	yes
48	yes
66	yes
73	no
30	yes
63	yes
69	yes
61	yes
43	yes
68	yes
58	yes
65	yes
78	no
54	yes
72	yes
69	yes
52	yes
59	yes
30	yes
36	yes
80	yes
45	yes
57	no
70	yes
53	yes
53	yes
51	yes
80	yes
50	no
57	yes
41	yes
37	yes
80	yes
63	yes
80	yes
40	yes
37	yes
63	no
29	yes
74	yes
63	yes
65	yes
26	yes
63	yes
39	yes
56	yes
28	yes
45	yes
35	no
73	yes
37	no
53	no
27	yes
45	yes
40	no
32	yes
58	yes
70	yes
78	yes
71	no
58	yes
62	yes
27	yes
23	no
41	yes
57	yes
45	yes
57	yes
26	yes
66	no
63	yes
65	yes
63	yes
34	yes
60	yes
50	yes
45	yes
34	yes
41	yes
62	yes
46	yes
43	yes
80	no
71	no
31	yes
30	no
38	yes
67	yes
60	yes
67	yes
34	yes
34	yes
46	yes
43	yes
51	yes
51	yes
66	yes
70	yes
70	no
66	yes
32	yes
54	yes
23	yes
41	yes
43	yes
78	yes
55	yes
80	yes
58	yes
33	yes
24	yes
80	yes
48	yes
63	yes
36	yes
50	yes
62	yes
80	yes
66	no
43	yes
39	yes
71	yes
64	yes
52	yes
36	yes
56	yes
65	no
41	no
37	yes
72	yes
42	yes
79	yes
32	yes
43	yes
23	yes
36	yes
60	yes
29	yes
66	no
78	yes
70	yes
33	yes
27	yes
61	yes
35	no
41	yes
30	yes
72	yes
33	yes
35	yes
33	yes
74	yes
38	yes
80	yes
46	yes
50	no
24	no
80	no
59	yes
74	yes
39	no
75	yes
30	yes
80	yes
31	yes
69	no
56	yes
75	yes
65	yes
29	no
72	yes
25	yes
60	yes
53	yes
66	yes
35	yes
61	yes
45	yes
70	yes
78	yes
63	yes
51	yes
41	yes
80	yes
25	yes
41	no
29	yes
57	yes
51	yes
31	yes
58	yes
53	yes
45	no
54	yes
55	yes
76	yes
53	yes
56	yes
49	yes
55	yes
72	yes
57	yes
30	yes
37	yes
74	yes
38	yes
68	yes
75	yes
71	yes
68	yes
32	yes
50	yes
65	yes
35	yes
37	yes
78	yes
42	yes
42	yes
71	no
58	no
57	yes
61	yes
37	yes
49	no
80	no
34	no
71	yes
42	yes
62	yes
63	yes
27	yes
38	yes
33	yes
63	yes
38	no
72	yes
26	yes
35	yes
61	yes
58	no
39	no
54	yes
52	yes
69	yes
60	yes
67	yes
47	yes
67	yes
57	yes
31	yes
73	yes
70	yes
80	yes
61	yes
41	yes
68	yes
32	yes
65	no
28	yes
33	yes
30	no
64	yes
61	yes
49	yes
62	yes
39	no
66	yes
62	yes
62	yes
42	yes
34	yes
60	no
54	yes
35	no
73	no
80	yes
64	no
32	yes
56	yes
68	yes
67	yes
67	yes
52	yes
57	yes
39	yes
23	yes
63	yes
37	yes
69	no
42	yes
66	yes
69	yes
72	yes
66	yes
58	yes
27	no
28	yes
50	yes
25	yes
53	yes
80	yes
64	yes
59	yes
77	yes
49	yes
51	yes
69	yes
69	yes
30	no
31	no
26	yes
68	yes
67	no
46	yes
40	yes
23	no
72	yes
38	yes
76	yes
73	yes
34	yes
36	yes
80	yes
76	yes
66	yes
74	yes
44	yes
30	yes
61	yes
79	yes
23	yes
38	no
75	yes
29	yes
33	yes
59	no
72	yes
52	yes
41	yes
52	yes
67	yes
53	yes
34	yes
71	yes
28	no
66	yes
69	yes
46	no
42	no
24	yes
53	yes
47	yes
41	yes
80	yes
72	yes
31	yes
21	yes
42	yes
40	yes
80	yes
76	yes
71	yes
38	yes
33	no
41	yes
62	yes
73	yes
28	yes
21	no
64	yes
58	yes
26	yes
23	no
61	yes
50	yes
67	yes
35	yes
68	yes
61	yes
32	yes
78	yes
65	yes
19	yes
25	yes
75	yes
29	yes
74	yes
57	yes
80	yes
38	yes
21	yes
46	yes
72	yes
62	yes
40	yes
43	yes
59	yes
27	no
36	yes
31	yes
22	no
66	yes
44	yes
72	yes
67	no
71	yes
42	yes
49	yes
59	yes
67	yes
77	yes
36	yes
61	yes
66	no
41	yes
64	yes
37	yes
80	no
72	yes
37	yes
43	no
28	yes
36	yes
23	yes
77	yes
73	yes
45	yes
27	yes
38	yes
51	yes
30	yes
80	yes
58	yes
72	yes
26	yes
57	yes
37	yes
39	no
33	yes
64	yes
72	yes
61	yes
60	yes
73	no
59	yes
37	yes
48	yes
58	yes
59	yes
71	yes
66	no
39	no
64	yes
69	yes
38	yes
68	yes
40	no
30	yes
30	no
64	no
69	yes
62	yes
22	no
53	yes
41	yes
64	yes
66	yes
64	yes
53	yes
70	yes
55	yes
53	no
38	no
35	no
37	yes
50	no
56	yes
43	yes
27	no
36	no
51	yes
37	yes
52	yes
61	yes
42	yes
69	yes
80	yes
80	no
35	yes
55	no
47	no
80	yes
50	yes
61	yes
43	yes
50	yes
53	yes
59	yes
69	yes
39	yes
60	yes
47	yes
80	no
57	yes
34	no
59	yes
80	yes
63	yes
36	yes
31	yes
76	yes
61	no
63	yes
51	yes
40	yes
48	yes
45	yes
50	yes
62	yes
24	no
67	yes
48	no
39	yes
25	yes
69	yes
25	yes
66	yes
61	yes
62	yes
38	yes
80	yes
32	yes
74	yes
30	no
63	yes
41	yes
67	yes
72	yes
22	yes
45	yes
52	no
39	no
44	yes
37	yes
39	yes
54	yes
73	yes
56	yes
60	no
29	yes
65	yes
49	yes
80	yes
80	yes
58	yes
42	yes
57	yes
38	yes
56	yes
47	yes
31	yes
27	no
25	no
49	yes
35	yes
62	yes
33	yes
49	yes
64	yes
38	yes
30	yes
36	yes
42	yes
76	yes
37	yes
49	yes
27	yes
73	no
80	yes
35	yes
59	yes
62	yes
38	yes
75	no
62	yes
51	yes
24	no
73	yes
72	yes
79	no
41	yes
24	yes
35	yes
42	no
32	no
61	yes
29	no
61	yes
62	yes
72	yes
52	no
77	yes
49	no
25	yes
77	yes
31	yes
28	yes
26	yes
32	no
78	yes
45	yes
58	yes
34	yes
56	yes
80	no
27	no
40	no
39	yes
75	yes
50	no
34	yes
39	no
23	yes
70	yes
56	yes
36	no
46	yes
25	yes
52	yes
31	yes
30	no
73	yes
66	no
35	yes
61	yes
79	yes
41	no
54	yes
22	yes
22	no
46	yes
41	no
64	yes
71	yes
76	no
36	yes
27	yes
54	yes
27	yes
52	yes
50	yes
73	yes
62	no
41	yes
34	yes
36	yes
64	yes
53	no
40	yes
68	yes
73	yes
67	yes
40	yes
62	yes
35	yes
71	no
56	yes
24	yes
67	yes
72	yes
70	yes
30	yes
59	yes
61	yes
63	yes
24	yes
34	yes
34	no
38	yes
78	yes
62	yes
61	yes
44	no
79	yes
62	yes
72	yes
73	yes
77	yes
29	yes
51	yes
70	yes
70	yes
67	yes
44	yes
73	yes
65	yes
56	yes
60	no
47	yes
43	yes
62	yes
44	yes
25	no
43	yes
54	yes
31	no
60	yes
35	yes
47	yes
80	yes
54	yes
28	yes
60	yes
63	yes
69	yes
62	yes
41	no
55	yes
33	yes
21	yes
36	yes
43	yes
63	yes
45	yes
37	no
32	yes
42	yes
64	yes
34	yes
48	yes
39	yes
59	no
69	yes
51	yes
48	yes
32	yes
52	no
54	yes
72	yes
64	yes
60	yes
59	yes
51	yes
39	yes
24	no
80	yes
44	yes
52	no
41	yes
69	yes
71	yes
61	yes
28	yes
43	yes
36	yes
77	yes
65	yes
61	yes
80	yes
30	yes
51	yes
63	no
48	yes
73	yes
26	yes
74	yes
42	no
49	no
53	yes
64	no
61	yes
26	yes
66	yes
57	yes
66	yes
25	yes
36	no
31	yes
70	yes
42	no
75	yes
57	yes
61	yes
63	yes
80	yes
80	yes
58	yes
50	no
38	no
64	yes
62	no
64	yes
45	yes
59	no
75	no
80	no
23	no
55	yes
63	yes
80	yes
61	yes
74	no
41	yes
34	yes
42	yes
64	yes
38	yes
53	yes
65	no
80	yes
71	yes
66	yes
63	yes
55	yes
46	yes
65	no
49	yes
69	yes
57	yes
55	yes
78	yes
26	yes
66	yes
41	yes
79	yes
71	yes
24	no
63	yes
42	yes
43	yes
66	yes
56	no
68	yes
79	yes
36	yes
36	yes
80	yes
74	yes
65	yes
58	yes
50	yes
28	yes
55	yes
80	yes
56	yes
39	no
29	no
33	no
58	yes
71	no
35	yes
49	yes
73	yes
30	yes
71	no
47	no
28	no
80	yes
55	no
73	yes
62	yes
51	yes
67	yes
80	yes
30	yes
58	yes
27	no
48	yes
60	yes
45	yes
40	yes
37	yes
27	yes
49	yes
80	yes
54	yes
44	yes
59	yes
46	yes
69	yes
39	no
77	yes
80	yes
72	yes
50	yes
38	yes
53	yes
63	yes
70	yes
50	yes
26	yes
75	no
49	yes
63	yes
77	yes
65	yes
56	yes
72	yes
25	yes
80	no
69	yes
23	yes
56	yes
35	yes
80	yes
64	no
65	no
62	yes
54	yes
70	yes
38	yes
54	yes
72	yes
75	no
66	yes
52	yes
56	yes
70	yes
68	yes
25	yes
22	no
63	no
80	yes
55	yes
35	yes
41	yes
68	yes
43	yes
68	no
80	yes
24	yes
62	yes
58	no
32	yes
36	yes
67	yes
60	yes
41	yes
25	no
30	no
63	yes
67	no
47	yes
54	yes
71	no
45	yes
63	yes
42	yes
55	yes
63	no
73	yes
62	yes
50	yes
49	yes
58	yes
77	yes
80	yes
78	yes
69	yes
49	yes
79	yes
68	yes
57	yes
26	no
78	yes
34	no
54	no
46	no
72	yes
49	yes
51	yes
69	yes
68	yes
33	yes
29	no
59	yes
42	yes
67	yes
63	yes
24	no
41	yes
24	yes
65	yes
41	no
24	no
78	yes
33	yes
35	no
29	yes
74	yes
39	yes
69	yes
30	yes
29	yes
46	yes
54	yes
61	yes
39	yes
68	yes
73	yes
25	yes
65	yes
25	no
72	yes
67	yes
29	no
34	yes
27	yes
63	yes
80	yes
49	no
55	yes
40	no
46	yes
76	yes
61	yes
37	yes
80	yes
39	no
64	yes
34	no
80	yes
47	yes
74	yes
62	yes
58	yes
67	yes
77	yes
42	yes
53	yes
65	yes
49	yes
39	no
69	yes
58	yes
77	yes
45	no
42	yes
41	yes
49	no
39	yes
75	yes
52	yes
71	yes
61	yes
80	yes
60	yes
68	yes
50	yes
67	yes
27	no
28	yes
67	yes
66	yes
42	no
62	yes
37	yes
47	yes
58	yes
73	yes
75	yes
51	yes
24	no
71	yes
68	yes
61	yes
65	no
80	yes
40	no
57	no
50	yes
80	yes
75	yes
30	yes
65	yes
46	yes
44	no
35	yes
80	yes
48	no
39	yes
35	yes
31	yes
31	yes
25	yes
30	yes
75	yes
62	yes
72	yes
44	no
80	yes
79	yes
65	yes
30	yes
44	yes
52	yes
47	yes
56	yes
38	yes
24	yes
32	yes
62	yes
36	yes
50	yes
77	yes
48	yes
35	yes
59	yes
43	yes
39	yes
55	yes
40	yes
46	yes
80	yes
41	yes
72	yes
27	yes
28	yes
80	yes
71	yes
44	no
46	yes
44	yes
53	yes
54	no
36	yes
50	yes
57	yes
28	yes
47	no
61	yes
71	yes
62	yes
22	yes
63	yes
71	no
77	yes
65	yes
55	yes
44	yes
76	yes
61	yes
70	yes
77	yes
80	yes
78	yes
54	yes
71	yes
45	no
34	yes
40	no
80	yes
33	yes
53	yes
66	yes
37	yes
71	yes
47	yes
80	yes
52	yes
58	no
69	yes
45	yes
55	yes
33	yes
56	yes
67	yes
61	yes
75	yes
37	yes
23	yes
43	yes
48	yes
80	yes
44	yes
80	yes
41	no
80	yes
69	yes
37	yes
53	yes
48	no
40	yes
26	yes
55	yes
73	yes
60	yes
63	yes
58	yes
40	yes
63	yes
34	yes
77	yes
68	yes
66	yes
39	yes
31	yes
67	yes
78	no
49	yes
43	yes
38	yes
51	yes
33	yes
60	yes
60	yes
50	yes
45	yes
73	yes
31	no
35	yes
29	yes
47	yes
34	no
31	yes
63	yes
36	yes
41	yes
80	yes
53	no
54	yes
67	yes
61	no
25	yes
63	yes
43	yes
53	yes
64	yes
56	yes
41	yes
35	yes
78	no
54	yes
65	no
36	yes
59	yes
61	yes
39	yes
33	yes
43	yes
27	yes
34	yes
73	yes
60	yes
50	yes
48	yes
71	no
33	yes
65	yes
22	no
54	yes
51	yes
52	yes
64	yes
55	yes
41	yes
37	no
43	yes
76	yes
59	no
50	yes
57	no
44	yes
39	yes
28	yes
42	no
63	yes
77	yes
59	no
64	yes
75	yes
60	yes
25	no
75	yes
27	yes
37	yes
25	no
66	yes
64	yes
60	no
26	no
69	yes
21	yes
67	yes
23	yes
62	yes
63	yes
39	yes
80	yes
72	no
51	yes
62	yes
49	no
64	yes
50	yes
39	yes
46	no
34	no
54	yes
61	yes
64	yes
62	no
35	yes
43	yes
58	no
68	yes
78	yes
48	no
80	yes
46	yes
71	yes
64	yes
23	yes
44	no
50	yes
27	no
54	yes
45	no
68	yes
23	no
23	yes
77	yes
72	yes
71	yes
56	yes
62	yes
35	yes
70	yes
29	yes
71	yes
36	yes
66	yes
58	yes
71	yes
42	no
77	yes
43	yes
59	yes
32	yes
66	yes
80	yes
42	yes
80	yes
43	yes
72	yes
80	yes
35	yes
52	yes
73	yes
55	yes
35	yes
59	yes
38	yes
51	yes
69	yes
33	no
74	yes
32	yes
79	yes
76	yes
70	yes
62	yes
60	yes
35	no
40	yes
80	yes
40	yes
43	yes
59	yes
80	yes
80	yes
70	yes
38	yes
73	yes
47	yes
37	yes
48	yes
33	yes
65	yes
60	yes
67	yes
72	yes
22	yes
55	yes
62	yes
38	yes
52	yes
45	yes
40	yes
68	yes
53	yes
63	yes
80	yes
55	yes
71	yes
62	yes
62	yes
41	yes
24	no
71	yes
56	yes
51	yes
79	yes
35	yes
40	yes
73	yes
49	yes
44	yes
57	yes
22	yes
80	yes
55	no
69	yes
65	yes
29	yes
39	no
23	no
47	yes
32	yes
60	yes
22	no
35	no
39	yes
27	no
28	no
34	yes
58	yes
40	yes
29	yes
75	yes
40	no
42	yes
62	yes
44	yes
57	yes
59	yes
57	yes
60	no
62	yes
24	yes
55	yes
77	yes
80	yes
27	yes
51	yes
58	no
66	yes
46	yes
32	yes
40	yes
42	yes
80	yes
29	yes
53	no
34	yes
32	no
68	yes
37	yes
72	no
62	yes
40	yes
80	yes
34	yes
80	yes
71	yes
61	yes
51	yes
50	yes
38	yes
67	yes
63	yes
49	yes
67	yes
60	yes
27	no
26	yes
50	yes
52	no
72	yes
35	no
73	yes
59	yes
59	yes
56	yes
31	no
42	yes
37	yes
67	yes
79	yes
49	yes
37	yes
70	yes
58	no
42	yes
25	yes
55	no
57	yes
44	yes
56	yes
55	no
63	yes
40	no
60	yes
55	yes
70	yes
52	yes
35	yes
47	yes
62	yes
35	no
70	yes
43	yes
54	yes
36	yes
39	yes
38	yes
44	yes
41	yes
40	yes
41	yes
44	yes
63	yes
77	yes
26	yes
68	yes
80	yes
58	yes
43	yes
37	yes
46	yes
31	no
74	yes
29	no
51	yes
36	yes
35	yes
61	yes
23	yes
47	yes
62	no
45	yes
72	yes
69	yes
73	yes
76	yes
55	yes
71	yes
72	yes
58	yes
35	yes
70	yes
71	yes
61	yes
67	yes
50	yes
32	yes
33	yes
51	yes
54	yes
32	yes
58	no
50	yes
59	yes
43	no
34	yes
54	no
55	yes
56	no
38	yes
80	yes
65	yes
65	yes
62	yes
44	yes
33	yes
45	yes
55	yes
36	yes
31	no
46	yes
43	yes
37	yes
38	yes
55	yes
76	yes
71	yes
30	no
77	no
71	yes
53	yes
50	yes
48	yes
37	yes
53	no
68	yes
45	no
80	yes
65	no
30	yes
66	yes
38	no
40	no
42	no
24	yes
65	yes
68	yes
75	yes
54	yes
39	yes
62	yes
43	yes
38	yes
60	yes
58	yes
80	yes
80	yes
40	yes
64	yes
62	yes
63	yes
55	yes
45	yes
64	yes
36	no
59	yes
25	yes
43	no
51	yes
52	no
37	yes
49	yes
45	no
26	yes
39	no
68	yes
72	yes
59	yes
63	yes
68	yes
40	yes
47	yes
56	yes
40	yes
25	yes
54	yes
45	yes
33	no
61	yes
51	yes
63	yes
50	yes
22	no
29	no
76	yes
64	yes
63	yes
39	no
42	yes
24	yes
63	yes
75	yes
66	yes
50	yes
63	yes
38	yes
57	yes
28	yes
35	yes
58	no
59	yes
57	yes
68	yes
22	yes
26	yes
69	yes
66	no
67	yes
41	yes
41	yes
36	yes
55	yes
62	yes
36	no
24	yes
32	no
43	yes
68	yes
37	yes
44	yes
68	yes
74	yes
37	yes
26	yes
64	yes
26	yes
39	no
71	yes
72	yes
63	yes
30	yes
40	yes
38	yes
61	yes
28	yes
76	yes
80	yes
63	yes
57	yes
42	yes
47	yes
50	yes
68	yes
65	yes
29	yes
31	yes
45	yes
58	yes
66	no
37	yes
28	yes
76	yes
31	yes
64	yes
71	yes
30	yes
70	yes
73	yes
37	no
62	yes
76	no
72	no
50	yes
57	yes
25	no
69	yes
40	yes
30	no
38	yes
51	yes
68	yes
57	yes
55	yes
55	yes
68	yes
59	yes
57	yes
52	yes
69	yes
52	yes
66	yes
55	yes
39	yes
41	yes
61	yes
59	yes
25	yes
37	no
68	yes
29	yes
60	yes
58	yes
74	yes
28	yes
63	yes
55	yes
24	yes
24	yes
58	yes
70	yes
65	yes
66	yes
60	yes
33	yes
36	yes
80	no
21	yes
29	yes
80	yes
26	yes
25	yes
52	no
61	no
29	yes
56	yes
38	yes
63	yes
54	yes
80	yes
47	no
24	yes
50	no
24	yes
57	yes
62	yes
34	no
41	no
42	yes
37	yes
73	yes
22	yes
80	yes
73	yes
78	yes
27	yes
80	yes
68	no
60	no
65	yes
21	yes
21	yes
73	yes
66	yes
35	yes
34	yes
60	yes
43	no
80	yes
28	yes
26	yes
23	no
69	yes
63	no
48	yes
55	yes
26	yes
31	yes
30	yes
34	yes
52	yes
52	yes
73	yes
80	yes
36	yes
59	yes
60	yes
24	no
80	yes
33	yes
62	yes
43	no
80	yes
46	no
58	yes
67	yes
61	yes
34	yes
80	no
30	yes
80	yes
60	yes
76	yes
47	no
50	no
35	no
41	yes
26	yes
44	no
80	yes
77	yes
65	no
79	yes
70	no
29	yes
73	yes
20	yes
44	no
72	yes
46	yes
69	no
48	yes
40	yes
78	yes
49	yes
77	yes
65	yes
58	no
58	yes
31	yes
35	yes
56	yes
58	yes
22	yes
49	yes
68	no
80	yes
52	yes
44	yes
60	yes
59	no
62	yes
70	yes
67	yes
40	yes
43	yes
74	yes
56	yes
35	no
24	yes
32	yes
58	yes
32	no
80	no
71	yes
69	yes
26	no
63	yes
77	yes
56	no
47	yes
45	yes
36	no
80	yes
19	yes
44	yes
34	yes
30	yes
71	yes
69	yes
69	yes
34	no
46	no
64	yes
63	yes
71	yes
19	yes
47	yes
48	yes
34	yes
49	yes
40	yes
50	yes
35	yes
55	yes
59	yes
34	no
49	yes
64	yes
53	yes
56	yes
57	no
56	no
65	no
66	yes
68	yes
60	yes
60	yes
59	yes
33	yes
55	yes
67	yes
42	no
59	yes
73	yes
54	yes
66	yes
56	yes
75	yes
78	yes
65	no
44	yes
64	yes
67	yes
48	yes
68	yes
80	yes
27	yes
55	no
27	yes
65	yes
67	yes
51	yes
45	yes
29	yes
54	yes
80	yes
72	yes
49	yes
31	yes
66	yes
80	yes
47	yes
60	no
80	yes
80	yes
60	no
51	yes
76	no
28	yes
69	yes
76	yes
61	yes
33	yes
59	yes
75	yes
35	yes
39	yes
48	yes
74	yes
71	yes
76	yes
28	no
26	yes
68	yes
46	yes
47	yes
28	no
23	yes
65	yes
40	no
73	yes
41	yes
52	yes
47	yes
80	yes
61	no
59	yes
44	yes
26	no
37	yes
55	yes
80	yes
70	no
27	no
57	yes
66	no
60	yes
47	yes
77	yes
49	yes
54	yes
64	yes
61	yes
54	yes
25	yes
29	yes
24	yes
30	yes
68	no
65	yes
33	no
39	no
32	no
60	yes
37	yes
71	yes
63	yes
41	yes
40	no
80	yes
69	yes
80	yes
64	no
50	yes
49	yes
62	yes
26	yes
28	yes
39	yes
49	yes
66	yes
56	yes
73	yes
20	yes
73	yes
49	yes
69	yes
50	yes
54	yes
54	yes
65	yes
80	yes
23	no
33	no
43	yes
49	no
25	yes
30	yes
51	yes
75	yes
74	yes
64	yes
33	yes
73	yes
53	no
25	no
80	yes
40	yes
31	yes
72	yes
22	yes
52	yes
39	yes
59	yes
